word,anticipation,joy,trust,fear,sadness,disgust,anger,surprise,positive,negative,none
acentuado,0,1,0,0,0,0,0,1,0,0,0
acera,0,0,1,0,0,0,0,0,0,0,2
acercamiento,0,0,4,1,0,0,0,0,0,0,3
acertadamente,0,1,0,0,0,0,0,0,0,0,0
achispado,0,0,0,0,0,0,0,0,0,0,2
ácido,0,0,0,0,0,0,0,0,0,0,1
aclaración,2,0,3,0,0,0,0,0,0,0,0
aclarar,0,0,0,0,1,0,0,0,0,0,1
acólito,0,0,0,0,0,0,1,0,0,0,1
acompañar,0,0,1,0,0,0,0,0,0,0,0
aconsejable,0,1,0,0,0,0,0,0,0,0,1
acontecer,0,0,0,0,0,0,0,0,0,0,1
acorazado,0,0,0,0,0,0,0,0,0,0,1
acorde,0,1,0,0,0,0,0,0,0,0,1
acosado,0,0,0,0,2,0,0,0,0,0,0
acosador,0,0,0,0,0,0,1,0,0,0,3
acosan,0,0,0,0,0,0,1,0,0,0,2
acosar,0,0,0,0,0,0,0,0,0,0,2
acosar,0,0,0,3,0,1,0,0,2,2,0
acostumbrado,0,0,0,0,0,0,0,0,0,0,1
acostumbrar,0,0,1,0,0,0,0,0,0,0,0
acre,0,0,0,0,0,0,0,0,0,0,1
acreditar,0,0,3,0,0,0,0,0,2,0,3
acreedor,0,1,1,1,0,0,0,0,0,0,0
acritud,0,1,0,0,0,1,0,0,0,0,0
acrobacia,0,1,0,0,0,0,0,1,0,0,1
actitud,0,0,0,1,0,0,0,0,0,0,0
activa,0,1,0,1,0,0,0,0,0,0,0
activista,0,0,0,0,0,1,0,0,0,0,1
activo,0,1,0,0,0,0,0,0,0,0,2
acto,0,1,0,1,0,0,0,0,0,0,2
actual,0,0,0,0,0,0,0,1,0,0,0
actualizar,0,1,0,0,0,0,0,0,0,0,1
actualizar,6,1,0,1,1,0,0,1,4,0,4
actualmente,0,0,2,0,0,0,0,0,0,0,0
actuar,0,0,0,0,0,0,1,0,0,0,2
acueducto,0,0,0,0,0,0,0,0,0,0,2
acuerdo,0,0,0,0,0,0,0,0,0,0,1
acuerdo,0,5,2,0,0,0,0,0,0,0,3
acuerdo,1,1,3,0,0,0,0,0,2,1,2
acumulan,3,2,0,0,0,0,0,0,0,0,4
acumulando,0,0,0,0,0,0,0,0,0,0,3
acumular,0,0,0,0,0,0,0,1,0,0,2
acumular,3,1,0,0,0,0,0,2,8,1,3
acurrucarse,0,0,0,0,0,0,0,1,0,0,0
acurrucarse,0,0,1,1,1,0,1,0,0,0,5
acusar,0,0,0,1,1,0,0,0,0,0,0
acusar,0,1,0,0,0,0,0,0,0,0,2
acusar,1,0,0,0,0,0,0,0,0,0,0
adagio,0,1,0,0,0,0,0,0,0,0,2
adder,1,0,0,0,0,0,0,0,0,0,1
adecuada,0,2,1,1,0,0,0,0,4,1,1
adecuadamente,1,0,3,0,0,0,0,0,0,0,0
adecuado,0,0,1,0,0,0,0,0,0,0,1
adelantamiento,2,0,0,0,0,0,0,0,0,0,6
adelantarse,0,2,0,1,0,0,0,0,0,0,0
adelante,0,0,0,0,0,0,0,0,0,0,1
adelante,0,0,0,0,0,0,0,0,0,0,1
adelante,0,0,0,0,0,0,0,0,0,0,2
ademas,0,0,0,0,0,0,0,0,0,0,2
además,0,0,0,0,0,0,0,0,3,1,6
adepto,0,0,2,0,0,0,0,0,0,0,0
adherir,0,1,1,0,0,0,0,0,0,0,1
adicto,0,0,0,1,2,0,0,0,0,0,0
adiós,0,0,0,0,0,1,0,0,0,0,2
adiós,0,0,0,0,8,0,0,2,0,0,2
aditivo,1,0,0,0,0,0,0,0,3,1,2
adivinar,0,0,0,0,0,0,0,0,0,0,1
adivinar,0,0,0,0,0,0,0,0,0,0,2
adjetivos,0,0,0,0,0,0,0,0,0,0,1
adjunto,0,0,0,0,0,0,0,0,0,0,1
adjunto,0,1,0,0,0,1,0,0,0,0,0
administra,0,1,0,0,0,0,0,0,0,0,2
administrador,0,0,0,0,0,0,0,0,0,0,2
admirar,0,0,0,0,0,0,0,0,0,0,1
admision,0,1,0,0,0,0,0,0,0,0,0
adobe,0,0,0,0,0,0,0,0,0,0,2
adoctrinamiento,0,1,0,0,0,0,0,0,0,0,1
adolescente,0,1,0,0,0,0,0,0,0,0,1
adolescente,0,1,0,0,0,0,0,0,0,0,2
adolescente,0,3,0,0,1,0,0,0,1,0,4
adoptar,1,1,0,0,0,0,0,0,0,0,0
adoptar,2,5,1,0,0,0,0,0,0,0,2
adoración,0,4,1,2,0,0,0,1,1,0,2
adquirir,0,1,0,0,0,0,0,0,0,0,2
adquisición,0,0,0,0,1,0,0,0,0,0,0
adulación,0,0,0,0,0,0,0,0,0,0,3
adular,1,0,0,0,0,0,0,0,0,0,1
adulto,0,1,0,0,0,0,0,1,0,0,0
adverbio,0,0,0,1,0,0,0,0,0,0,1
adversario,0,0,0,0,0,0,0,0,0,0,1
adversario,0,0,0,0,0,0,0,0,0,0,2
adverso,1,1,0,0,0,0,0,0,0,0,0
advertencia,0,0,0,0,0,0,0,0,0,0,2
advertencia,0,1,0,0,0,0,0,1,0,0,1
advertir,0,0,0,0,0,0,0,0,0,0,1
aéreos,0,1,0,0,0,0,0,0,0,0,2
aeroespacial,0,1,0,0,0,0,0,0,0,0,0
aerógrafo,0,0,0,0,0,0,0,0,0,0,2
aerolinea,0,0,0,0,0,0,0,0,0,0,1
aeropuerto,3,2,0,0,0,0,0,0,0,0,5
aerosol,0,0,0,0,0,4,0,0,0,0,4
aerosol,2,3,0,0,0,0,0,1,0,0,6
afanosamente,1,1,1,0,0,0,3,0,1,0,4
afectan,1,1,0,0,0,0,0,0,0,0,0
afectuoso,1,0,0,1,0,0,0,0,0,0,0
afeitar,0,0,0,0,0,0,0,0,1,1,6
afensa,0,0,0,1,0,0,1,0,0,0,1
aficionado,0,2,0,0,0,0,0,0,0,0,0
afilar,0,2,0,0,0,0,1,0,0,0,0
afinidad,0,0,0,0,0,0,0,0,0,0,3
afirmar,0,0,0,0,0,0,1,0,0,0,2
afliccion,0,0,0,1,0,0,0,0,0,0,0
afloje,1,0,0,0,0,0,0,0,0,0,0
afluencia,0,0,0,0,0,0,0,0,0,0,2
afluencia,1,0,0,0,0,0,0,0,1,0,6
afluente,0,1,0,0,0,0,0,1,0,0,1
afortunadamente,0,1,0,0,0,0,0,0,0,0,1
afrenta,0,0,0,0,0,0,0,0,0,0,1
afro,0,1,0,0,0,0,0,0,0,0,8
afueras,0,1,0,0,0,0,0,0,0,0,1
agacharse,1,0,0,0,0,0,0,0,0,0,0
agallar,0,0,0,0,0,0,0,0,0,0,1
agarran,0,0,0,0,0,0,0,0,0,0,1
agarrar,0,0,1,0,0,0,0,0,0,0,0
agencia,0,1,1,0,0,0,0,0,0,0,0
agenda,0,0,0,0,0,0,0,0,0,0,1
agente,2,0,0,0,0,0,0,0,0,0,2
agil,0,0,0,0,0,0,0,0,0,0,1
agil,0,0,0,0,0,0,0,0,0,0,2
agitación,0,0,0,1,0,0,0,0,0,0,2
agitadamente,0,0,0,0,0,0,1,0,0,0,1
agitado,0,0,0,0,0,2,2,0,0,0,0
agitar,1,0,0,0,0,0,0,0,0,0,0
aglomeración,0,0,0,0,1,0,0,0,0,0,0
agosto,0,1,0,0,0,0,0,0,0,0,1
agotar,0,0,0,0,1,0,0,0,0,0,1
agradable,0,7,1,0,0,0,0,0,0,0,1
agradablemente,0,1,0,0,0,0,0,0,0,0,1
agraria,0,1,0,0,0,0,0,0,0,0,1
agravado,1,0,0,0,0,0,0,0,0,0,0
agravio,0,2,0,0,0,0,0,0,0,0,1
agregar,0,1,0,0,0,0,0,2,2,1,4
agresor,0,1,0,0,0,0,0,0,0,0,3
agricultor,0,1,2,0,0,0,0,0,0,0,0
agricultura,0,1,0,0,0,0,0,0,0,0,1
agrio,0,1,0,0,0,0,0,0,0,0,1
agroliga,0,0,1,0,0,0,0,0,0,0,0
agrupar,1,0,0,0,0,0,0,0,0,0,1
agua,0,1,0,0,0,0,0,0,0,0,1
aguado,0,1,0,0,0,0,0,0,0,0,2
agudo,0,1,0,1,0,0,0,0,0,0,1
águila,0,0,0,0,1,0,0,0,0,0,0
aguja,0,0,0,0,0,0,0,0,0,0,1
agujero,0,0,0,0,0,0,0,0,0,0,2
aha,0,1,0,0,1,0,0,1,0,0,8
ahogar,0,0,0,2,0,0,0,0,0,0,0
ahondar,1,0,0,0,0,0,0,0,0,0,0
ahorrativo,0,2,2,0,0,0,1,0,0,0,0
airado,0,0,0,0,0,0,0,0,0,0,1
aire,0,2,0,0,0,0,0,0,0,0,2
aislacionista,0,0,0,0,1,0,0,0,0,0,0
aislados,0,0,1,0,0,0,0,0,0,0,1
aislamiento,0,0,0,1,0,0,1,0,0,0,1
aislar,0,0,0,2,0,0,0,0,0,0,0
ajedrez,1,0,0,0,0,0,0,0,0,0,0
ajetreo,0,0,0,0,0,0,1,0,0,0,0
ajo,0,0,0,0,0,1,0,0,0,0,0
ajustador,0,0,0,0,0,0,0,0,0,0,1
ajustar,0,0,1,0,0,0,0,0,0,0,0
ajuste,0,0,0,0,0,0,0,0,0,0,1
aka,0,0,0,0,0,0,0,0,0,0,2
alabe,0,1,0,0,0,0,0,0,0,0,0
alargar,0,1,0,0,0,0,0,0,0,0,2
alarma,0,0,0,0,0,0,0,0,0,0,1
alarmantemente,0,0,0,0,0,0,1,0,0,0,0
alarmista,0,0,0,0,0,0,0,1,0,0,1
alarmista,0,0,0,0,0,0,2,4,0,0,5
albado,0,1,0,0,1,0,0,0,0,0,0
albahaca,1,1,0,0,0,0,0,0,0,0,2
albaricoque,0,1,0,0,0,1,0,0,0,0,0
alboroto,0,0,0,0,0,0,0,0,0,0,2
alboroto,0,0,0,0,0,0,1,0,0,0,0
álbum,0,0,0,0,0,0,0,0,0,0,2
alcaldía,1,0,0,0,0,0,0,0,0,0,2
alcance,0,0,0,0,0,0,0,0,0,0,1
alcantarilla,0,0,0,0,0,0,1,0,0,0,1
alcanzar,0,0,0,0,0,0,0,0,0,0,3
alcanzar,0,1,1,1,0,0,0,0,0,0,0
alcanzó,0,0,0,0,1,0,0,0,0,0,1
alce,0,0,0,0,0,0,0,0,0,0,3
alcohol,0,0,0,0,0,0,0,0,0,0,3
aldea,0,1,0,0,0,0,1,0,1,1,4
aleatorio,2,0,0,0,0,0,0,1,0,0,6
alegato,0,0,0,0,0,0,0,0,0,0,2
alegoría,0,0,1,0,0,0,0,0,0,0,1
alegre,0,1,0,0,0,1,0,0,0,0,0
alegre,0,2,0,0,0,0,0,0,0,0,1
alegre,0,4,0,0,0,0,0,0,0,0,0
alegremente,0,2,0,0,0,0,0,0,0,0,1
alegremente,0,3,0,0,0,0,0,0,0,0,0
alegria,0,0,0,0,0,0,0,0,0,0,2
aleluya,0,0,1,0,0,1,0,0,0,0,0
alentar,1,3,5,0,0,1,0,0,3,1,2
alergia,0,0,0,0,1,0,0,0,0,0,0
alérgico,0,0,0,0,1,0,0,0,0,0,0
alerón,0,0,0,0,0,0,0,0,0,0,1
alerta,0,0,0,2,0,0,0,1,0,0,0
aleta,0,0,0,0,0,0,0,0,0,0,1
aleta,0,1,0,0,0,0,0,0,0,0,1
alfa,0,0,0,0,0,0,0,0,0,0,4
alfabetismo,0,0,0,0,0,0,0,0,0,0,2
alfabeto,0,0,0,0,0,0,0,0,0,0,1
alfarero,0,0,0,0,0,0,0,0,0,0,2
alfombra,0,0,0,0,0,0,0,0,0,0,1
alfombra,0,0,0,0,0,0,0,0,0,0,2
álgebra,0,0,0,0,0,0,0,0,0,0,1
algo,0,0,0,0,0,0,0,1,0,0,2
algodón,0,0,0,0,0,0,0,0,0,0,2
alguien,0,0,0,0,0,0,0,0,0,0,2
alianza,0,1,3,0,0,0,0,0,0,0,5
aligerar,0,2,0,2,0,1,0,0,2,0,2
alijo,0,0,0,0,0,0,0,0,0,0,1
alimentado,0,1,0,0,0,0,0,0,0,0,2
alimentador,0,0,0,0,0,0,0,0,0,0,2
alimetado,0,0,0,0,0,0,0,0,0,0,1
alinear,0,0,1,0,0,0,0,0,0,0,0
alistarse,0,1,0,0,1,0,0,1,0,0,0
aliviar,0,2,0,0,1,0,0,0,0,0,0
allá,0,1,0,0,0,0,0,0,0,0,0
allí,0,0,0,0,0,0,0,0,0,0,9
allí,0,1,0,0,0,0,0,0,0,0,1
alma,0,0,0,0,0,0,0,0,0,0,1
alma,2,1,0,0,0,1,0,0,2,0,2
almacén,0,1,0,0,0,0,0,0,0,0,2
almacenaje,0,0,1,0,0,0,0,0,0,0,1
almacenamiento,0,1,0,0,0,0,0,0,0,0,1
almadena,0,1,0,0,0,0,0,0,0,0,0
almeja,0,0,0,0,1,0,0,0,0,0,3
almizcle,0,1,0,0,1,0,0,0,0,0,0
almohada,0,1,0,0,0,0,0,0,0,0,0
almohadilla,0,0,0,0,0,0,0,2,0,0,0
almuerzo,1,6,0,0,0,0,0,0,0,0,4
alpin,0,0,0,0,0,0,0,0,0,0,1
alquiler,0,1,1,0,0,0,0,0,0,0,2
alquiler,1,0,0,0,0,0,0,0,0,0,1
alquitrán,1,0,0,0,0,0,0,0,0,0,1
alquitrán,8,1,0,0,0,0,0,1,2,3,2
alrededor,0,0,0,0,0,0,0,0,0,0,2
alta,0,0,0,0,0,0,0,0,0,0,2
altar,0,0,0,0,0,0,0,0,0,0,1
altavoz,2,1,0,0,0,0,0,0,2,0,3
alterar,0,0,0,0,0,0,0,0,0,0,3
alternar,2,1,0,0,0,0,0,1,0,2,2
altivo,0,0,0,0,0,0,0,0,0,0,2
alto,0,0,0,0,0,0,0,0,0,0,2
alto,0,1,0,0,0,0,0,0,0,0,1
alto,0,1,0,0,0,0,0,0,0,0,2
alto,0,1,0,0,0,0,0,1,2,1,2
altura,0,0,0,0,0,0,0,0,0,0,1
alucinación,0,0,0,0,0,0,0,0,0,0,2
aluminio,0,0,0,0,0,0,0,0,0,0,1
alusion,0,0,0,0,0,0,0,1,0,0,1
alza,1,0,0,0,0,0,0,0,0,0,2
amable,0,0,0,0,0,0,0,0,0,0,2
amable,0,2,1,0,0,0,0,0,0,0,0
amable,0,3,0,0,0,0,0,0,0,0,0
amablemente,0,2,0,0,0,0,0,0,0,0,0
amado,0,1,0,0,0,0,0,0,0,0,0
amalgama,0,0,5,1,1,1,0,0,2,0,1
amanecer,0,1,0,0,0,0,0,0,0,0,1
amanecer,0,2,0,0,0,0,0,0,0,0,0
amante,0,0,0,0,0,0,0,0,0,0,1
amante,0,3,1,0,0,0,0,0,0,0,0
amapola,0,1,0,0,0,1,0,0,0,0,1
amargamente,0,0,0,0,3,4,4,0,0,0,0
amargo,0,0,0,0,0,0,1,0,0,0,1
amargo,0,0,0,0,0,2,1,1,0,0,0
amarillo,0,0,0,0,0,0,0,0,0,0,1
ámbar,0,1,0,0,1,0,0,0,0,0,0
ambiciosa,1,1,0,0,0,0,0,1,3,0,1
ambiente,0,0,0,0,0,0,0,0,0,0,3
ambiente,0,1,0,0,0,0,0,0,0,0,7
ambiente,0,3,0,0,0,0,0,0,0,0,0
ambigüedad,0,0,0,0,0,0,0,0,0,0,2
ambigüedad,0,0,0,3,2,2,4,0,0,0,0
ámbito,1,4,0,0,0,1,1,0,3,1,6
ambivalente,0,0,0,1,0,0,0,0,0,0,1
amén,0,0,0,0,0,0,0,0,0,0,1
amenaza,0,0,0,1,1,1,0,0,0,0,0
amenazador,0,0,0,0,0,0,0,0,0,0,3
amenazar,0,0,0,4,0,0,0,0,0,0,0
ametralladora,0,1,0,0,0,0,0,0,0,0,2
amigo,0,1,0,0,0,0,0,0,0,0,4
amigo,0,1,0,1,0,0,0,0,0,0,1
amigo,0,2,0,0,0,0,0,0,0,0,7
amigo,0,4,2,1,0,0,0,0,2,0,1
amigote,1,1,1,0,0,0,0,1,0,0,0
amistad,1,3,3,0,0,0,0,0,0,0,0
amistoso,0,0,0,0,0,0,0,0,0,0,1
amonestar,0,0,0,0,0,0,0,0,0,0,2
amorfo,0,0,0,0,0,0,0,0,0,0,1
amortiguador,0,0,0,0,0,1,0,0,0,0,0
amplia,0,0,0,0,0,0,0,0,0,0,1
ampliar,0,0,0,0,0,0,0,0,9,1,4
ampliar,0,0,0,0,1,0,0,0,3,0,5
ampliar,0,0,0,0,1,0,0,0,5,0,1
ampliar,0,1,0,0,1,0,0,0,0,0,1
amplificador,0,0,0,0,0,0,0,0,0,0,3
amplio,0,0,0,0,0,0,0,0,0,0,1
amplio,0,0,0,0,0,0,0,0,0,0,4
amplitud,3,0,0,0,0,1,0,0,1,1,3
amputar,0,0,0,0,0,0,0,0,0,0,2
anabólico,0,1,0,0,0,0,0,1,0,0,1
anacronista,0,0,0,1,0,0,0,1,0,0,0
anal,0,0,0,0,0,7,1,1,0,0,1
analfabetismo,2,0,1,0,0,0,0,0,0,0,0
analisis,2,1,0,0,0,0,0,0,2,1,3
analista,0,1,2,0,0,0,0,0,0,0,0
analitico,0,0,0,0,0,0,0,0,0,0,1
analizado,0,0,0,0,0,0,0,0,0,0,2
analógico,0,0,0,0,0,1,0,0,0,0,1
análogo,0,0,1,0,0,0,0,0,0,0,0
anarquía,0,0,0,0,0,1,0,0,0,0,1
anarquismo,0,1,0,0,0,0,0,0,0,0,2
anarquista,0,0,0,1,0,0,0,0,0,0,2
anatema,0,0,0,0,0,1,0,0,0,0,0
anatomia,0,0,0,0,0,0,0,0,0,0,2
ancla,0,0,0,0,0,0,0,0,0,0,3
anclar,0,1,0,1,0,0,0,0,0,0,3
anécdota,0,0,0,0,0,0,0,0,0,0,1
anémica,0,0,0,0,0,0,0,0,0,0,1
anexar,0,0,0,0,0,0,0,0,0,0,1
anexo,1,0,1,3,0,0,0,2,1,5,3
anfibio,0,0,0,0,0,0,0,0,0,0,2
anglófono,0,0,0,0,0,0,0,0,0,0,2
angulo,0,0,2,0,0,0,0,0,0,0,7
angustia,0,0,0,0,1,0,0,0,0,0,1
angustia,0,0,0,1,1,0,0,0,0,0,0
angustia,0,0,0,1,1,0,0,0,0,0,1
angustia,0,1,0,0,0,0,0,0,0,0,0
anhelan,0,0,0,0,0,0,0,0,0,0,1
anhelan,2,0,0,0,1,0,1,0,0,0,6
anhelando,0,1,0,0,0,0,0,0,0,0,1
anillo,1,1,0,0,0,0,0,0,0,0,1
animal,0,2,0,0,0,1,0,0,0,0,6
animar,0,2,0,0,0,1,0,0,0,0,0
animará,0,3,6,0,0,1,0,1,0,0,0
aniquilacion,0,0,0,0,0,1,0,0,0,0,0
anniversario,0,0,0,0,0,0,0,0,0,0,2
año,0,1,0,0,0,0,0,0,0,0,0
anomalia,0,0,0,0,0,0,1,0,0,0,0
anonadado,0,0,0,1,0,0,0,0,0,0,1
anónimo,0,0,0,0,0,0,0,0,0,0,2
anorexia,0,0,0,0,0,0,0,0,0,0,2
anormal,0,0,0,0,0,0,0,0,0,0,1
anormalmente,0,0,0,1,0,0,0,0,0,0,1
ansiedad,0,0,0,0,0,0,0,0,0,0,1
ansiosamente,0,2,0,0,0,0,0,0,0,0,0
ansioso,0,0,0,0,1,0,0,0,0,0,1
ansioso,0,1,0,0,0,0,0,0,0,0,3
antaño,1,0,0,0,1,0,0,0,0,0,0
antemano,0,0,0,0,0,0,0,0,0,0,2
antepasado,1,0,0,0,0,0,0,0,0,0,0
anterior,0,0,0,0,2,0,0,0,0,0,0
anterior,2,0,1,0,0,0,0,0,0,0,0
antes,0,0,0,0,0,0,0,0,0,0,1
antes,0,0,1,1,0,0,0,2,0,0,7
antes,0,1,0,0,0,0,0,1,0,0,1
antibiótico,0,0,0,0,0,0,0,0,0,0,2
anticipado,0,1,0,0,0,0,0,0,0,0,0
anticoncepción,1,0,0,0,1,0,0,0,0,0,3
anticuado,1,0,0,0,1,2,1,0,0,0,0
antidemócrata,0,0,0,0,0,0,1,0,0,0,0
antidemócrata,1,1,0,0,0,0,0,0,0,0,0
antideporte,1,0,0,0,0,0,0,0,0,0,1
antidiplomático,0,0,0,0,0,0,0,0,0,0,1
antiguo,0,0,0,0,0,0,0,0,0,0,1
antiguo,0,0,0,0,0,0,0,0,0,0,3
antimicrobiano,0,0,1,0,0,0,0,0,0,0,3
antimonopolio,0,0,0,0,0,0,0,0,0,0,1
antipatia,0,0,0,0,1,1,1,0,0,0,0
antipatriótica,0,0,0,0,0,1,5,0,0,0,2
antípoda,0,0,0,0,0,2,0,0,0,0,0
antitesis,0,0,0,0,0,0,0,0,0,0,1
antitetico,0,0,0,0,1,0,0,0,0,0,2
antorcha,0,1,1,1,0,0,0,0,0,0,0
antropologia,0,0,1,0,0,0,0,0,0,0,1
anu,0,0,0,0,0,0,0,0,0,0,1
anual,0,0,0,0,0,0,0,0,0,0,2
anual,3,2,0,1,0,0,0,0,4,0,2
anulación,0,0,0,0,1,0,0,0,0,0,1
anular,0,0,0,1,2,0,0,0,0,0,0
anular,0,1,0,0,0,0,0,0,0,0,0
anular,1,1,0,0,0,0,0,0,0,0,0
anuncio,0,0,0,0,0,0,0,0,0,0,1
anuncio,0,0,0,0,0,0,0,0,0,0,3
aparador,0,1,0,0,0,0,0,2,2,1,6
aparato,0,0,0,0,0,1,0,0,1,0,7
aparejo,0,1,0,0,0,1,0,0,0,0,0
aparente,0,0,0,1,0,0,0,0,0,0,0
aparentemente,0,1,0,0,0,0,0,0,0,0,2
apariencia,0,0,0,0,0,0,0,0,0,0,1
apartado,0,0,0,0,0,0,0,0,0,0,1
aparte,0,0,0,0,0,0,0,0,0,0,2
aparte,0,0,0,0,0,0,0,0,0,0,2
apatia,0,0,0,0,0,0,0,0,0,0,1
apatica,0,0,0,0,0,0,0,0,0,0,1
apático,0,3,0,0,2,0,0,0,0,1,2
apelación,0,0,0,0,0,0,0,0,0,0,1
apellido,0,0,0,0,0,0,0,0,0,0,1
apéndice,0,1,0,0,0,0,0,0,0,0,1
apendices,0,0,0,0,0,0,0,0,0,0,1
aperitivo,0,1,0,0,0,0,0,1,0,0,0
apeste,0,0,0,0,0,1,0,0,0,0,1
apestoso,0,0,0,0,1,0,0,0,0,0,0
apetito,0,1,1,0,0,0,0,0,0,0,0
aplacar,0,0,1,0,0,0,0,0,0,0,0
aplanador,0,0,0,0,0,0,0,0,0,0,1
aplanar,1,1,0,0,1,0,0,0,0,0,0
aplastar,0,1,0,1,0,0,0,0,0,0,1
aplaudan,0,5,0,0,0,0,0,0,1,1,2
aplaudir,0,0,0,0,0,0,0,0,0,0,1
aplausos,0,3,0,0,0,0,0,0,0,0,0
aplazar,0,1,0,0,0,0,1,0,0,0,0
aplicable,0,1,0,0,0,0,0,0,0,0,2
aplicar,0,1,1,0,0,0,0,0,0,0,1
aplomo,0,0,1,0,0,1,0,0,0,0,1
apocalipsis,0,0,0,0,1,0,0,0,0,0,0
apodo,0,0,0,0,0,0,0,0,0,0,2
apodo,0,0,0,0,0,0,0,1,3,0,4
apogeo,0,0,0,0,0,0,0,0,0,0,2
apologista,0,1,0,0,0,1,0,0,0,0,0
apostar,0,0,0,0,0,0,0,0,0,0,1
apostar,0,0,0,0,1,0,0,0,0,0,1
